Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Supply,BTC_Demand,BTC_Daily_Return,BTC_Price_Change,BTC_Inflation,BTC_MarketCap,BTC_Supply_Proxy,BTC_Demand_Proxy,BTC_Intraday_Return_Pct,BTC_Market_Value_Proxy,LINK_Open,LINK_High,LINK_Low,LINK_Close,LINK_Volume,LINK_Supply,LINK_Demand,LINK_Daily_Return,LINK_Price_Change,LINK_Inflation,LINK_MarketCap,LINK_Supply_Proxy,LINK_Demand_Proxy,LINK_Intraday_Return_Pct,LINK_Market_Value_Proxy,Price_Ratio,BTC_Open_Norm,BTC_High_Norm,BTC_Low_Norm,BTC_Close_Norm,BTC_Volume_Norm,LINK_Open_Norm,LINK_High_Norm,LINK_Low_Norm,LINK_Close_Norm,LINK_Volume_Norm
2018-01-21,12889.200195,12895.900391,11288.200195,11600.099609,9935179776,11039260473.745495,8941522615.232664,-10.001401,-1289.100586,-10.001401,128056521109283.98,11039260473.745495,8941522615.232664,-10.001401,128056521109283.98,1.19564,1.19564,0.840487,0.887828,22703900,30575393.543338,16858886.034594,-25.744537,-0.307812,-25.744537,27145690.267622,30575393.543338,16858886.034594,-25.744537,27145690.267622,13065.706092,0.079438,0.078265,0.067471,0.068825,0.020145,0.019766,0.019356,0.014567,0.013867,0.000131
2018-01-22,11633.099609,11966.400391,10240.200195,10931.400391,10537400320,11213808219.077719,9901792801.756008,-6.03192,-701.699219,-6.03192,122582627546420.02,11213808219.077719,9901792801.756008,-6.03192,122582627546420.02,0.905794,1.01586,0.734843,0.802858,12408600,13999531.425905,10998464.825408,-11.364176,-0.102936,-11.364176,11239635.732007,13999531.425905,10998464.825408,-11.364176,11239635.732007,13615.60881,0.069101,0.070703,0.058738,0.063322,0.021876,0.0142,0.015945,0.012299,0.012234,7e-05
2018-01-23,10944.5,11377.599609,10129.700195,10868.400391,9660609536,9728252297.178375,9593437110.39682,-0.695323,-76.099609,-0.695323,105730541066752.0,9728252297.178375,9593437110.39682,-0.695323,105730541066752.0,0.802235,0.862839,0.718654,0.801917,7552930,7555925.025734,7549936.161437,-0.039638,-0.000318,-0.039638,6059224.853581,7555925.025734,7549936.161437,-0.039638,6059224.853581,13553.023775,0.063434,0.065913,0.057818,0.062804,0.019357,0.012212,0.013041,0.011951,0.012216,4.2e-05
2018-01-24,10903.400391,11501.400391,10639.799805,11359.400391,9940989952,9541929151.057268,10356740200.15283,4.182182,456.0,4.182182,108390593725836.0,9541929151.057268,10356740200.15283,4.182182,108390593725836.0,0.798848,0.834116,0.766961,0.792863,6451640,6500340.493777,6403304.369894,-0.749199,-0.005985,-0.749199,5153879.538763,6500340.493777,6403304.369894,-0.749199,5153879.538763,14327.065619,0.063096,0.06692,0.062068,0.066844,0.020162,0.012147,0.012496,0.012988,0.012042,3.5e-05
2018-01-25,11421.700195,11785.700195,11057.400391,11259.400391,8873169920,9001073155.963978,8747084160.406517,-1.420978,-162.299805,-1.420978,101346686608305.02,9001073155.963978,8747084160.406517,-1.420978,101346686608305.02,0.800383,0.832663,0.720689,0.760437,6271900,6601364.588052,5958878.514481,-4.990856,-0.039946,-4.990856,5019921.960604,6601364.588052,5958878.514481,-4.990856,5019921.960604,14806.486556,0.067361,0.069233,0.065548,0.066021,0.017094,0.012176,0.012468,0.011995,0.011419,3.4e-05
2018-01-26,11256.0,11656.700195,10470.299805,11171.400391,9746199552,9820006294.76807,9672947537.519722,-0.751596,-84.599609,-0.751596,109703222157311.98,9820006294.76807,9672947537.519722,-0.751596,109703222157311.98,0.756811,0.787677,0.678423,0.709853,5618280,5989939.145074,5269681.276204,-6.204723,-0.046958,-6.204723,4251976.232944,5989939.145074,5269681.276204,-6.204723,4251976.232944,15737.625245,0.065997,0.068184,0.060656,0.065297,0.019602,0.01134,0.011615,0.011087,0.010447,3.1e-05
2018-01-27,11174.900391,11614.900391,10989.200195,11440.700195,7583269888,7407089093.056273,7763641218.809712,2.378543,265.799805,2.378543,84742285633626.0,7407089093.056273,7763641218.809712,2.378543,84742285633626.0,0.710961,0.846373,0.689705,0.780675,14915400,13583459.885095,16377944.87133,9.805603,0.069714,9.805603,10604267.464185,13583459.885095,16377944.87133,9.805603,10604267.464185,14654.882356,0.06533,0.067844,0.06498,0.067513,0.013388,0.01046,0.012729,0.011329,0.011808,8.5e-05
2018-01-28,11475.299805,12040.299805,11475.299805,11786.299805,8350360064,8130022721.242846,8576668920.77106,2.710169,311.0,2.710169,95822885211489.5,8130022721.242846,8576668920.77106,2.710169,95822885211489.5,0.789529,0.855933,0.751998,0.760601,9034380,9377985.812579,8703363.772946,-3.663962,-0.028928,-3.663962,7132905.23789,9377985.812579,8703363.772946,-3.663962,7132905.23789,15496.035439,0.067802,0.071304,0.069031,0.070357,0.015592,0.011968,0.01291,0.012667,0.011422,5.1e-05
2018-01-29,11755.5,11875.599609,11179.200195,11296.400391,7107359744,7396211587.890553,6829788727.696313,-3.905403,-459.099609,-3.905403,83550567470591.98,7396211587.890553,6829788727.696313,-3.905403,83550567470591.98,0.756799,0.761525,0.685925,0.697712,5220320,5662412.057205,4812744.2205,-7.807487,-0.059087,-7.807487,3950732.864952,5662412.057205,4812744.2205,-7.807487,3950732.864952,16190.634994,0.070108,0.069964,0.066563,0.066326,0.012021,0.01134,0.011119,0.011248,0.010214,2.8e-05
2018-01-30,11306.799805,11307.200195,10036.200195,10106.299805,8637859840,9663927831.087133,7720734666.029822,-10.617505,-1200.5,-10.617505,97666551951829.98,9663927831.087133,7720734666.029822,-10.617505,97666551951829.98,0.700005,0.700005,0.562775,0.596778,5598540,6566941.349172,4772945.038644,-14.746612,-0.103227,-14.746612,3919005.963975,6566941.349172,4772945.038644,-14.746612,3919005.963975,16934.773431,0.066415,0.06534,0.057039,0.056532,0.016418,0.010249,0.009951,0.008604,0.008274,3e-05
2018-01-31,10108.200195,10381.599609,9777.419922,10221.099609,8041160192,7952339780.424438,8130972646.889893,1.116909,112.899414,1.116909,81281657023313.5,7952339780.424438,8130972646.889893,1.116909,81281657023313.5,0.598872,0.62402,0.565813,0.620146,6957010,6718351.310225,7204146.65819,3.55234,0.021274,3.55234,4166358.534041,6718351.310225,7204146.65819,3.55234,4166358.534041,16481.763965,0.056552,0.05781,0.054882,0.057477,0.014704,0.008307,0.008509,0.008669,0.008723,3.8e-05
2018-02-01,10237.299805,10288.799805,8812.280273,9170.540039,9959400448,11117924116.444733,8921598694.571884,-10.420324,-1066.759766,-10.420324,101957368261114.98,11117924116.444733,8921598694.571884,-10.420324,101957368261114.98,0.619959,0.623401,0.480307,0.520347,6605630,7870170.779109,5544269.485578,-16.067514,-0.099612,-16.067514,4095219.747852,7870170.779109,5544269.485578,-16.067514,4095219.747852,17623.89339,0.057614,0.057056,0.04684,0.048831,0.020215,0.008712,0.008498,0.006833,0.006805,3.6e-05
2018-02-02,9142.280273,9142.280273,7796.490234,8830.75,12726899712,13175877946.837473,12293220757.876204,-3.407577,-311.530273,-3.407577,116352884179035.02,13175877946.837473,12293220757.876204,-3.407577,116352884179035.02,0.51844,0.523837,0.35195,0.494574,7123780,7467542.741632,6795842.118917,-4.603425,-0.023866,-4.603425,3693252.561355,7467542.741632,6795842.118917,-4.603425,3693252.561355,17855.264965,0.048603,0.047728,0.038375,0.046035,0.028167,0.006763,0.006608,0.004076,0.006309,3.9e-05
2018-02-03,8852.120117,9430.75,8251.629883,9174.910156,7263790080,7008236723.756202,7528662116.599742,3.646472,322.790039,3.646472,64299942294195.0,7008236723.756202,7528662116.599742,3.646472,64299942294195.0,0.500117,0.544792,0.453403,0.518558,5826330,5619133.367789,6041166.679455,3.687341,0.018441,3.687341,2913846.703436,5619133.367789,6041166.679455,3.687341,2913846.703436,17693.121517,0.046215,0.050075,0.042168,0.048867,0.01247,0.006411,0.007006,0.006255,0.00677,3.2e-05
2018-02-04,9175.700195,9334.870117,8031.220215,8277.009766,7073549824,7841572541.231442,6380749122.643824,-9.794244,-898.69043,-9.794244,64904772501629.5,7841572541.231442,6380749122.643824,-9.794244,64904772501629.5,0.518612,0.525754,0.403487,0.434371,5171480,6174426.376992,4331447.774656,-16.243556,-0.084241,-16.243556,2681991.72626,6174426.376992,4331447.774656,-16.243556,2681991.72626,19055.162221,0.048878,0.049295,0.040331,0.041478,0.011923,0.006766,0.006645,0.005183,0.005152,2.8e-05
2018-02-05,8270.540039,8364.839844,6756.680176,6955.27002,9285289984,11041176312.541428,7808643540.003901,-15.903073,-1315.27002,-15.903073,76794362586977.97,11041176312.541428,7808643540.003901,-15.903073,76794362586977.97,0.430158,0.437098,0.307245,0.341506,4347320,5475846.416038,3451373.494889,-20.609169,-0.088652,-20.609169,1870034.429885,5475846.416038,3451373.494889,-20.609169,1870034.429885,20366.46481,0.041429,0.041404,0.02971,0.030601,0.018278,0.005068,0.004962,0.003116,0.003368,2.3e-05
2018-02-06,7051.75,7850.700195,6048.259766,7754.0,13999800320,12731892172.62832,15393973365.65817,9.958521,702.25,9.958521,98723091906560.0,12731892172.62832,15393973365.65817,9.958521,98723091906560.0,0.343707,0.438514,0.272057,0.425248,6105750,4934976.768428,7554277.31717,23.723987,0.081541,23.723987,2098588.98624,4934976.768428,7554277.31717,23.723987,2098588.98624,18234.065895,0.031399,0.037221,0.023807,0.037174,0.031824,0.003408,0.004989,0.002361,0.004977,3.3e-05
2018-02-07,7755.490234,8509.110352,7236.790039,7621.299805,9169280000,9330726164.651367,9010627279.67662,-1.730264,-134.19043,-1.730264,71112261496250.02,9330726164.651367,9010627279.67662,-1.730264,71112261496250.02,0.425813,0.443644,0.373128,0.376771,5201810,5878897.922317,4602704.049918,-11.517259,-0.049042,-11.517259,2214998.266772,5878897.922317,4602704.049918,-11.517259,2214998.266772,20227.936184,0.03719,0.042577,0.033711,0.036082,0.017945,0.004984,0.005087,0.004531,0.004045,2.8e-05
2018-02-08,7637.859863,8558.769531,7637.859863,8265.589844,9346750464,8636911771.647089,10114928407.98396,8.218663,627.72998,8.218663,71389170221091.0,8636911771.647089,10114928407.98396,8.218663,71389170221091.0,0.375524,0.433127,0.375524,0.41108,5285960,4828755.728414,5786454.045953,9.468366,0.035556,9.468366,1985004.918283,4828755.728414,5786454.045953,9.468366,1985004.918283,20107.010285,0.036222,0.042981,0.037053,0.041384,0.018455,0.004019,0.004887,0.004582,0.004705,2.9e-05
2018-02-09,8271.839844,8736.980469,7884.709961,8736.980469,6784820224,6423608987.372901,7166343026.558673,5.623182,465.140625,5.623182,56122946261564.0,6423608987.372901,7166343026.558673,5.623182,56122946261564.0,0.412028,0.44002,0.391976,0.435194,3047610,2885381.551714,3218959.623063,5.622426,0.023166,5.622426,1255700.697758,2885381.551714,3218959.623063,5.622426,1255700.697758,20076.059771,0.04144,0.044431,0.03911,0.045263,0.011094,0.00472,0.005018,0.004936,0.005168,1.6e-05
2018-02-10,8720.080078,9122.549805,8295.469727,8621.900391,7780960256,7869563952.606686,7693354151.521626,-1.125904,-98.179688,-1.125904,67850596517028.0,7869563952.606686,7693354151.521626,-1.125904,67850596517028.0,0.435503,0.480114,0.400166,0.419874,3474900,3604246.394249,3350195.488651,-3.588722,-0.015629,-3.588722,1513329.395485,3604246.394249,3350195.488651,-3.588722,1513329.395485,20534.494002,0.045128,0.047568,0.042533,0.044316,0.013956,0.005171,0.005779,0.005112,0.004874,1.8e-05
2018-02-11,8616.129883,8616.129883,7931.100098,8129.970215,6122189824,6488287324.165897,5776749143.258318,-5.642437,-486.159668,-5.642437,52749582690817.0,6488287324.165897,5776749143.258318,-5.642437,52749582690817.0,0.419716,0.435649,0.378313,0.416157,2544010,2565766.487308,2522437.997423,-0.847953,-0.003559,-0.847953,1067761.702577,2565766.487308,2522437.997423,-0.847953,1067761.702577,19535.824398,0.044273,0.043448,0.039497,0.040268,0.00919,0.004867,0.004935,0.004642,0.004802,1.3e-05
2018-02-12,8141.430176,8985.919922,8141.430176,8926.570312,6256439808,5706152090.067935,6859795962.897487,9.643762,785.140137,9.643762,50936367845810.26,5706152090.067935,6859795962.897487,9.643762,50936367845810.26,0.417541,0.519708,0.414619,0.490282,7646360,6511902.91638,8978454.071011,17.421284,0.072741,17.421284,3192668.779861,6511902.91638,8978454.071011,17.421284,3192668.779861,18207.012145,0.040366,0.046456,0.041249,0.046824,0.009576,0.004826,0.00653,0.005422,0.006227,4.2e-05
2018-02-13,8926.719727,8958.469727,8455.410156,8598.30957,5696719872,5914304578.386421,5487140012.815104,-3.678957,-328.410156,-3.678957,50853021658083.0,5914304578.386421,5487140012.815104,-3.678957,50853021658083.0,0.48893,0.62475,0.482524,0.570759,30283200,25941535.083247,35351500.95386,16.736345,0.081829,16.736345,14806364.580917,25941535.083247,35351500.95386,16.736345,14806364.580917,15064.693845,0.046829,0.046233,0.043866,0.044122,0.007968,0.006196,0.008523,0.00688,0.007774,0.000175
