Date,BTC_Daily_Return,LINK_Daily_Return,Rolling_30_Day_Correlation
2018-06-13,-3.743891,-6.127037,0.816933077510232
2018-06-14,5.243784,11.826488,0.8448256841709091
2018-06-15,-3.258876,-6.845044,0.846897800618057
2018-06-16,1.467132,-0.66708,0.8410612085850779
2018-06-17,-0.706738,-3.743186,0.8368662896169231
2018-06-18,3.452344,-1.89046,0.8149758052361639
2018-06-19,0.408606,5.228912,0.8196425787708069
2018-06-20,0.085515,1.331891,0.8218699866770901
2018-06-21,-0.74261,-5.158606,0.8084542987722917
2018-06-22,-9.709136,-12.333826,0.8134678104136537
2018-06-23,1.188484,4.223069,0.8171305128076907
2018-06-24,0.145195,-3.556582,0.8135600097538584
2018-06-25,1.250978,-3.785974,0.8411967432598942
2018-06-26,-2.556626,-4.855534,0.8484619845848231
2018-06-27,1.195352,0.748606,0.8456985591808173
2018-06-28,-4.058406,-3.412657,0.8197810241537646
2018-06-29,5.428329,8.939728,0.839154356110806
2018-06-30,3.05396,25.214245,0.7690924632379486
2018-07-01,-0.403332,-2.211726,0.7680499920250631
2018-07-02,3.664363,11.842252,0.7777759789658554
2018-07-03,-1.016731,-5.255993,0.7807810222979659
2018-07-04,0.712572,-1.458484,0.7762809536587925
2018-07-05,0.597453,-5.467056,0.7712930082543935
2018-07-06,0.524351,5.246561,0.7714427837713177
2018-07-07,2.822438,8.162545,0.7916386736713212
2018-07-08,-1.223715,-0.542139,0.7922330134419032
2018-07-09,-0.491951,-5.126908,0.7914683112254449
2018-07-10,-6.072815,-10.18871,0.7618222796652848
2018-07-11,1.009987,-1.888805,0.7562434584441163
2018-07-12,-2.625848,-1.136051,0.7318931672942163
2018-07-13,0.048436,-2.032145,0.7234199000396142
2018-07-14,0.458105,-3.140732,0.6898804819730447
2018-07-15,1.386005,1.872251,0.6807976620388565
2018-07-16,6.05222,11.173329,0.7143166745821885
2018-07-17,8.626415,11.756564,0.7359613816958938
2018-07-18,0.758134,-3.59673,0.7516108632260534
